Unnamed: 0,node,volatility,eign,closeness,betwness,centrality,community,density,name,type,period,type_ord,is_stable,type_cat
60,330,1,4.1725304841648526e-15,0.0208855472013366,0.0,3,24,0.6,"Fenner, B.",outgoing,1995-1999,1,0,outgoing
57,816,0,5.2649083333360384e-15,0.0292397660818713,0.0004127966976264,5,24,0.6,"Munzner, T.",stable,1995-1999,2,1,stable
78,1056,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,25,1.0,"Shneiderman, B.",stable,1995-1999,2,1,stable
79,1143,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,25,1.0,"Tanin, E.",outgoing,1995-1999,1,0,outgoing
80,85,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,25,1.0,"Beigel, R.",outgoing,1995-1999,1,0,outgoing
81,173,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,26,1.0,"Chalmers, M.",stable,1995-1999,2,1,stable
82,139,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,26,1.0,"Brodbeck, D.",stable,1995-1999,2,1,stable
83,737,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,26,1.0,"Lunzer, A.",outgoing,1995-1999,1,0,outgoing
84,222,1,2.1902992354879296e-16,0.0175438596491228,0.0,3,26,1.0,"Cotture, P.",outgoing,1995-1999,1,0,outgoing
1,225,1,0.0021900098282097,0.0316105579263474,0.0,1,27,0.2619047619047619,"Cox, K.C.",outgoing,1995-1999,1,0,outgoing
0,304,1,0.0164561928478726,0.0425305688463583,0.0013071895424836,2,27,0.2619047619047619,"Eick, S.G.",stable,1995-1999,2,1,stable
160,498,1,0.0499419436108393,0.0449842555105713,0.0,2,27,0.2619047619047619,"Higgins, M.",outgoing,1995-1999,1,0,outgoing
161,1032,1,0.0499419436108393,0.0449842555105713,0.0,2,27,0.2619047619047619,"Sean, J.",outgoing,1995-1999,1,0,outgoing
40,764,1,0.1195324806342844,0.0584795321637426,0.0,3,27,0.2619047619047619,"Mattis, J.",outgoing,1995-1999,1,0,outgoing
158,469,1,0.0837747943873702,0.0556947925368978,0.0,3,27,0.2619047619047619,"Harrison, J.",outgoing,1995-1999,1,0,outgoing
159,802,1,0.0837747943873702,0.0556947925368978,0.0,3,27,0.2619047619047619,"Moore, A.",outgoing,1995-1999,1,0,outgoing
37,201,1,0.1214652722432686,0.0615574022776238,0.0024767801857585,4,27,0.2619047619047619,"Chuah, M.C.",outgoing,1995-1999,1,0,outgoing
85,255,1,0.1256654366019043,0.0570532021109684,6.879944960440316e-05,4,27,0.2619047619047619,"Derthick, M.",stable,1995-1999,2,1,stable
109,610,1,0.0930530858272668,0.0570532021109684,0.0,4,27,0.2619047619047619,"Kerpedjiev, S.",outgoing,1995-1999,1,0,outgoing
110,165,1,0.0930530858272668,0.0570532021109684,0.0,4,27,0.2619047619047619,"Carenini, G.",outgoing,1995-1999,1,0,outgoing
111,424,1,0.0930530858272668,0.0570532021109684,0.0,4,27,0.2619047619047619,"Green, N.",outgoing,1995-1999,1,0,outgoing
112,803,1,0.0930530858272668,0.0570532021109684,0.0,4,27,0.2619047619047619,"Moore, J.",outgoing,1995-1999,1,0,outgoing
71,1040,1,0.3136008539618515,0.0649772579597141,0.0,7,27,0.2619047619047619,"Senn, J.A.",outgoing,1995-1999,1,0,outgoing
72,406,1,0.3136008539618515,0.0649772579597141,0.0,7,27,0.2619047619047619,"Gomberg, C.C.",outgoing,1995-1999,1,0,outgoing
73,150,1,0.3136008539618515,0.0649772579597141,0.0,7,27,0.2619047619047619,"Burks, M.B.",outgoing,1995-1999,1,0,outgoing
74,1113,1,0.3136008539618515,0.0649772579597141,0.0,7,27,0.2619047619047619,"Stroffolino, P.J.",outgoing,1995-1999,1,0,outgoing
75,296,1,0.3136008539618515,0.0649772579597141,0.0,7,27,0.2619047619047619,"Dunmire, C.",outgoing,1995-1999,1,0,outgoing
70,733,1,0.325332287889431,0.0687994496044031,0.0024767801857585,9,27,0.2619047619047619,"Lucas, P.",outgoing,1995-1999,1,0,outgoing
39,639,1,0.3566657075704745,0.0754574608564421,0.0015135878912968,10,27,0.2619047619047619,"Kolojejchick, J.",outgoing,1995-1999,1,0,outgoing
38,978,1,0.4200611321882295,0.0935672514619883,0.0076367389060887,16,27,0.2619047619047619,"Roth, S.F.",outgoing,1995-1999,1,0,outgoing
86,934,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,28,1.0,"Rao, R.",outgoing,1995-1999,1,0,outgoing
87,1151,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,28,1.0,"Tenev, T.",outgoing,1995-1999,1,0,outgoing
91,1153,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,29,1.0,"Teraoka, T.",outgoing,1995-1999,1,0,outgoing
92,758,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,29,1.0,"Maruyama, M.",outgoing,1995-1999,1,0,outgoing
77,744,2,8.841036630512306e-17,0.0121832358674463,0.0,1,30,0.5333333333333333,"Mackinlay, J.D.",stable,1995-1999,2,1,stable
76,164,1,2.7376333709312623e-16,0.0182748538011695,0.0002751977984176,2,30,0.5333333333333333,"Card, S.K.",outgoing,1995-1999,1,0,outgoing
94,955,1,6.924713053071151e-16,0.0182748538011695,0.0,3,30,0.5333333333333333,"Riedl, J.",outgoing,1995-1999,1,0,outgoing
95,71,1,6.924713053071151e-16,0.0182748538011695,0.0,3,30,0.5333333333333333,"Barry, P.",outgoing,1995-1999,1,0,outgoing
96,645,1,6.924713053071151e-16,0.0182748538011695,0.0,3,30,0.5333333333333333,"Konstan, J.",outgoing,1995-1999,1,0,outgoing
93,189,1,7.592997820469097e-16,0.0243664717348927,0.0004127966976264,4,30,0.5333333333333333,"Chi, E.H.",outgoing,1995-1999,1,0,outgoing
99,335,1,5.299168228228462e-15,0.0155945419103313,0.0,2,31,0.8,"Finger, J.",outgoing,1995-1999,1,0,outgoing
117,99,1,7.579945741969779e-15,0.0187134502923976,0.0,3,31,0.8,"Bielser, D.",outgoing,1995-1999,1,0,outgoing
118,1107,1,7.579945741969779e-15,0.0187134502923976,0.0,3,31,0.8,"Strasser, T.",outgoing,1995-1999,1,0,outgoing
97,1090,1,8.805639174698036e-15,0.023391812865497,6.879944960440316e-05,4,31,0.8,"Sprenger, T.C.",outgoing,1995-1999,1,0,outgoing
98,431,2,8.805639174698036e-15,0.023391812865497,6.879944960440316e-05,4,31,0.8,"Gross, M.H.",outgoing,1995-1999,1,0,outgoing
149,1223,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,32,1.0,"Ward, M.O.",stable,1995-1999,2,1,stable
150,985,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,32,1.0,"Rundensteiner, E.A.",stable,1995-1999,2,1,stable
151,368,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,32,1.0,"Fua, Y.-H.",outgoing,1995-1999,1,0,outgoing
103,969,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,33,1.0,"Rohrer, R.M.",outgoing,1995-1999,1,0,outgoing
104,301,3,3.9203204459841713e-22,0.0116959064327485,0.0,2,33,1.0,"Ebert, D.S.",outgoing,1995-1999,1,0,outgoing
105,1059,1,3.9203204459841713e-22,0.0116959064327485,0.0,2,33,1.0,"Sibert, J.L.",outgoing,1995-1999,1,0,outgoing
126,562,1,2.7075992499443588e-21,0.0105263157894736,0.0,1,34,0.6666666666666666,"Jeong, C.-S.",outgoing,1995-1999,1,0,outgoing
107,463,1,5.021615590524251e-21,0.0131578947368421,0.0,2,34,0.6666666666666666,"Hansen, M.",outgoing,1995-1999,1,0,outgoing
108,777,1,5.021615590524251e-21,0.0131578947368421,0.0,2,34,0.6666666666666666,"Meads, D.",outgoing,1995-1999,1,0,outgoing
106,869,1,5.875724543503037e-21,0.0175438596491228,0.0001375988992088,3,34,0.6666666666666666,"Pang, A.",outgoing,1995-1999,1,0,outgoing
152,90,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,35,1.0,"Bergeron, R.D.",outgoing,1995-1999,1,0,outgoing
153,1254,1,3.1126024218336992e-30,0.0058479532163742,0.0,1,35,1.0,"Wilson, R.M.",outgoing,1995-1999,1,0,outgoing
